epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,235.151,1.14521,3.16489,1.27637,0.00274,0.48276,0.25585,0.18593,0.82817,3.17062,0.96175,8.335e-05,8.335e-05,8.335e-05
2,307.133,0.84442,2.81049,1.11707,0.00256,0.5,0.42452,0.32509,0.67871,3.14581,0.86791,0.000147063,0.000147063,0.000147063
3,382.884,0.81533,2.22902,1.1028,0.00244,0.5,0.35975,0.25864,0.86922,3.13829,0.97197,0.000171168,0.000171168,0.000171168
4,449.787,0.8275,1.90361,1.149,0.00238,0.5,0.43066,0.33439,0.78438,3.08768,0.89665,0.000155664,0.000155664,0.000155664
5,515.695,0.76801,1.67537,1.10263,0.0024,0.5,0.43058,0.35254,0.72552,3.0189,0.87389,0.000100553,0.000100553,0.000100553
